"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Swift", "C++", "XML", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"e:\Projects\careconnect\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Projects\careconnect\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\careconnect\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"e:\Projects\careconnect\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"e:\Projects\careconnect\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\careconnect\lib\components\allergyList.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"e:\Projects\careconnect\lib\components\appointment_list.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 7, 88
"e:\Projects\careconnect\lib\components\blood_glucose_List.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"e:\Projects\careconnect\lib\components\blood_pressure_list.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"e:\Projects\careconnect\lib\components\examinationList.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 6, 174
"e:\Projects\careconnect\lib\components\family_list.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"e:\Projects\careconnect\lib\components\keyboarddismiss.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\Projects\careconnect\lib\components\labtest_list.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"e:\Projects\careconnect\lib\components\loading.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"e:\Projects\careconnect\lib\components\medical_visit.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"e:\Projects\careconnect\lib\components\notes.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"e:\Projects\careconnect\lib\components\pathology_list.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"e:\Projects\careconnect\lib\components\prescription_list.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"e:\Projects\careconnect\lib\components\radiology_list.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"e:\Projects\careconnect\lib\components\surgery_list.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 6, 69
"e:\Projects\careconnect\lib\components\vaccine_list.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\Projects\careconnect\lib\main.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 14, 8, 85
"e:\Projects\careconnect\lib\models\registereduser.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"e:\Projects\careconnect\lib\screens\admin_screen.dart", "Dart", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 9, 211
"e:\Projects\careconnect\lib\screens\authentication\forgotpassword.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 4, 9, 115
"e:\Projects\careconnect\lib\screens\authentication\signin.dart", "Dart", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 5, 6, 185
"e:\Projects\careconnect\lib\screens\doctor_home.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 8, 118
"e:\Projects\careconnect\lib\screens\medical_info.dart", "Dart", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 7, 120
"e:\Projects\careconnect\lib\screens\medicaldata\Appointment.dart", "Dart", 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 10, 332
"e:\Projects\careconnect\lib\screens\medicaldata\about_screen.dart", "Dart", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 9, 219
"e:\Projects\careconnect\lib\screens\medicaldata\allergy_screen.dart", "Dart", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 1, 9, 216
"e:\Projects\careconnect\lib\screens\medicaldata\blood_glucose.dart", "Dart", 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 9, 311
"e:\Projects\careconnect\lib\screens\medicaldata\blood_pressure.dart", "Dart", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 9, 271
"e:\Projects\careconnect\lib\screens\medicaldata\examination.dart", "Dart", 0, 0, 441, 0, 0, 0, 0, 0, 0, 0, 17, 9, 467
"e:\Projects\careconnect\lib\screens\medicaldata\family_history.dart", "Dart", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 7, 161
"e:\Projects\careconnect\lib\screens\medicaldata\labtest.dart", "Dart", 0, 0, 295, 0, 0, 0, 0, 0, 0, 0, 0, 9, 304
"e:\Projects\careconnect\lib\screens\medicaldata\medical_visit.dart", "Dart", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 9, 257
"e:\Projects\careconnect\lib\screens\medicaldata\notes.dart", "Dart", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 8, 164
"e:\Projects\careconnect\lib\screens\medicaldata\pathology.dart", "Dart", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 10, 307
"e:\Projects\careconnect\lib\screens\medicaldata\prescription.dart", "Dart", 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 7, 251
"e:\Projects\careconnect\lib\screens\medicaldata\radiology.dart", "Dart", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 9, 263
"e:\Projects\careconnect\lib\screens\medicaldata\surgery.dart", "Dart", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 10, 264
"e:\Projects\careconnect\lib\screens\medicaldata\vaccine.dart", "Dart", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 9, 193
"e:\Projects\careconnect\lib\screens\patient_screen.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"e:\Projects\careconnect\lib\screens\userdataforms\admin_profile.dart", "Dart", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 8, 204
"e:\Projects\careconnect\lib\screens\userdataforms\admin_update_form.dart", "Dart", 0, 0, 580, 0, 0, 0, 0, 0, 0, 0, 8, 15, 603
"e:\Projects\careconnect\lib\screens\userdataforms\doctor_add_form.dart", "Dart", 0, 0, 586, 0, 0, 0, 0, 0, 0, 0, 9, 11, 606
"e:\Projects\careconnect\lib\screens\userdataforms\doctor_profile.dart", "Dart", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 8, 201
"e:\Projects\careconnect\lib\screens\userdataforms\doctor_update_form.dart", "Dart", 0, 0, 633, 0, 0, 0, 0, 0, 0, 0, 10, 14, 657
"e:\Projects\careconnect\lib\screens\userdataforms\patient_add_form.dart", "Dart", 0, 0, 584, 0, 0, 0, 0, 0, 0, 0, 9, 12, 605
"e:\Projects\careconnect\lib\screens\userdataforms\patient_update_form.dart", "Dart", 0, 0, 635, 0, 0, 0, 0, 0, 0, 0, 9, 13, 657
"e:\Projects\careconnect\lib\services\admin_data.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 8, 94
"e:\Projects\careconnect\lib\services\auth.dart", "Dart", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 5, 14, 149
"e:\Projects\careconnect\lib\services\doctorData.dart", "Dart", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 13, 158
"e:\Projects\careconnect\lib\services\patientdata.dart", "Dart", 0, 0, 459, 0, 0, 0, 0, 0, 0, 0, 6, 47, 512
"e:\Projects\careconnect\lib\services\role.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 6, 44
"e:\Projects\careconnect\lib\services\wrapper.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 4, 43
"e:\Projects\careconnect\pubspec.yaml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 17, 95
"e:\Projects\careconnect\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"e:\Projects\careconnect\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 5, 46
"e:\Projects\careconnect\web\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 34, 87, 9860, 13, 12, 1, 127, 86, 9, 26, 227, 515, 10997
