"filename", "language", "YAML", "JSON", "Markdown", "Dart", "HTML", "C++", "Swift", "Properties", "Groovy", "XML", "comment", "blank", "total"
"e:\Projects\careconnect\lib\components\blood_glucose_List.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 3, 73
"e:\Projects\careconnect\lib\components\blood_pressure_list.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 6, 97
"e:\Projects\careconnect\lib\components\displaypdf.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 6, 68
"e:\Projects\careconnect\lib\components\displayphoto.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 3, 43
"e:\Projects\careconnect\lib\components\displayvideo.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 8, 74
"e:\Projects\careconnect\lib\components\doctor_appointment_list.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 7, 5, 76
"e:\Projects\careconnect\lib\components\doctorlisttile.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 5, 5, 67
"e:\Projects\careconnect\lib\components\examinationList.dart", "Dart", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 6, 241
"e:\Projects\careconnect\lib\components\family_list.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 5, 60
"e:\Projects\careconnect\lib\components\keyboarddismiss.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\Projects\careconnect\lib\components\labtest_list.dart", "Dart", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 5, 132
"e:\Projects\careconnect\lib\components\loading.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"e:\Projects\careconnect\lib\components\medical_info.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 7, 120
"e:\Projects\careconnect\lib\components\medical_visit.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 7, 87
"e:\Projects\careconnect\lib\components\notes.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 5, 116
"e:\Projects\careconnect\lib\components\pathology_list.dart", "Dart", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 5, 141
"e:\Projects\careconnect\lib\components\patientlisttile.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 7, 6, 75
"e:\Projects\careconnect\lib\components\photogrid.dart", "Dart", 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 1, 7, 240
"e:\Projects\careconnect\lib\components\photogridbutton.dart", "Dart", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 7, 5, 96
"e:\Projects\careconnect\lib\components\prescription_list.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 5, 148
"e:\Projects\careconnect\lib\components\radiology_list.dart", "Dart", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 6, 143
"e:\Projects\careconnect\lib\components\surgery_list.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 1, 6, 150
"e:\Projects\careconnect\lib\components\vaccine_list.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 4, 56
"e:\Projects\careconnect\lib\main.dart", "Dart", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 27, 16, 169
"e:\Projects\careconnect\lib\models\registereduser.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 5, 24
"e:\Projects\careconnect\lib\screens\admin_screen.dart", "Dart", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 8, 174
"e:\Projects\careconnect\lib\screens\authentication\forgotpassword.dart", "Dart", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 4, 9, 115
"e:\Projects\careconnect\lib\screens\authentication\signin.dart", "Dart", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 5, 6, 185
"e:\Projects\careconnect\lib\screens\doctor_home.dart", "Dart", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 7, 117
"e:\Projects\careconnect\lib\screens\doctor_medical_screen.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 5, 51
"e:\Projects\careconnect\lib\screens\medicaldata\Appointment.dart", "Dart", 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 2, 8, 370
"e:\Projects\careconnect\lib\screens\medicaldata\about_screen.dart", "Dart", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 9, 215
"e:\Projects\careconnect\lib\screens\medicaldata\allergy_screen.dart", "Dart", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 1, 8, 206
"e:\Projects\careconnect\lib\screens\medicaldata\blood_glucose.dart", "Dart", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 9, 310
"e:\Projects\careconnect\lib\screens\medicaldata\blood_pressure.dart", "Dart", 0, 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 9, 285
"e:\Projects\careconnect\lib\screens\medicaldata\doctor_appointment.dart", "Dart", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 1, 6, 92
"e:\Projects\careconnect\lib\screens\medicaldata\examination.dart", "Dart", 0, 0, 0, 618, 0, 0, 0, 0, 0, 0, 0, 11, 629
"e:\Projects\careconnect\lib\screens\medicaldata\family_history.dart", "Dart", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 7, 169
"e:\Projects\careconnect\lib\screens\medicaldata\labtest.dart", "Dart", 0, 0, 0, 448, 0, 0, 0, 0, 0, 0, 0, 9, 457
"e:\Projects\careconnect\lib\screens\medicaldata\medical_visit.dart", "Dart", 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 9, 280
"e:\Projects\careconnect\lib\screens\medicaldata\notes.dart", "Dart", 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 9, 275
"e:\Projects\careconnect\lib\screens\medicaldata\pathology.dart", "Dart", 0, 0, 0, 441, 0, 0, 0, 0, 0, 0, 2, 10, 453
"e:\Projects\careconnect\lib\screens\medicaldata\prescription.dart", "Dart", 0, 0, 0, 532, 0, 0, 0, 0, 0, 0, 1, 10, 543
"e:\Projects\careconnect\lib\screens\medicaldata\radiology.dart", "Dart", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 1, 9, 419
"e:\Projects\careconnect\lib\screens\medicaldata\surgery.dart", "Dart", 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 1, 11, 417
"e:\Projects\careconnect\lib\screens\medicaldata\vaccine.dart", "Dart", 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 9, 236
"e:\Projects\careconnect\lib\screens\patient_screen.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"e:\Projects\careconnect\lib\screens\userdataforms\admin_profile.dart", "Dart", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 8, 201
"e:\Projects\careconnect\lib\screens\userdataforms\admin_update_form.dart", "Dart", 0, 0, 0, 583, 0, 0, 0, 0, 0, 0, 8, 15, 606
"e:\Projects\careconnect\lib\screens\userdataforms\doctor_add_form.dart", "Dart", 0, 0, 0, 683, 0, 0, 0, 0, 0, 0, 11, 11, 705
"e:\Projects\careconnect\lib\screens\userdataforms\doctor_appointmentform.dart", "Dart", 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 1, 12, 282
"e:\Projects\careconnect\lib\screens\userdataforms\doctor_profile.dart", "Dart", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 8, 204
"e:\Projects\careconnect\lib\screens\userdataforms\doctor_update_form.dart", "Dart", 0, 0, 0, 753, 0, 0, 0, 0, 0, 0, 10, 16, 779
"e:\Projects\careconnect\lib\screens\userdataforms\patient_add_form.dart", "Dart", 0, 0, 0, 588, 0, 0, 0, 0, 0, 0, 9, 11, 608
"e:\Projects\careconnect\lib\screens\userdataforms\patient_update_form.dart", "Dart", 0, 0, 0, 648, 0, 0, 0, 0, 0, 0, 9, 12, 669
"e:\Projects\careconnect\lib\services\admin_data.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 8, 94
"e:\Projects\careconnect\lib\services\auth.dart", "Dart", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 5, 14, 145
"e:\Projects\careconnect\lib\services\doctorData.dart", "Dart", 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 7, 25, 355
"e:\Projects\careconnect\lib\services\patientdata.dart", "Dart", 0, 0, 0, 637, 0, 0, 0, 0, 0, 0, 9, 56, 702
"e:\Projects\careconnect\lib\services\role.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 7, 47
"e:\Projects\careconnect\lib\services\wrapper.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 2, 6, 55
"e:\Projects\careconnect\package-lock.json", "JSON", 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 261
"e:\Projects\careconnect\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Projects\careconnect\pubspec.yaml", "YAML", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 21, 110
"e:\Projects\careconnect\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"e:\Projects\careconnect\web\index.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 15, 5, 46
"e:\Projects\careconnect\web\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 43, 390, 172, 13912, 26, 1, 12, 8, 94, 125, 288, 664, 15735
